20/03/68,THE LEGEND OF XANADU,1
27/03/68,LADY MADONNA,2
10/04/68,CONGRATULATIONS,2
24/04/68,WHAT A WONDERFUL WORLD/CABARET,4
22/05/68,YOUNG GIRL,4
19/06/68,JUMPIN' JACK FLASH,2
03/07/68,BABY COME BACK,3
24/07/68,I PRETEND,1
31/07/68,MONY MONY,2
14/08/68,FIRE,1
21/08/68,MONY MONY,1
28/08/68,DO IT AGAIN,1
04/09/68,I'VE GOTTA GET A MESSAGE TO YOU,1
11/09/68,HEY JUDE,2
25/09/68,THOSE WERE THE DAYS,6
06/11/68,WITH A LITTLE HELP FROM MY FRIENDS,1
13/11/68,THE GOOD THE BAD AND THE UGLY,4
11/12/68,LILY THE PINK,3
01/01/69,OB-LA-DI OB-LA-DA,1
08/01/69,LILY THE PINK,1
15/01/69,OB-LA-DI OB-LA-DA,2
29/01/69,ALBATROSS,1
05/02/69,BLACKBERRY WAY,1
12/02/69,(IF PARADISE IS) HALF AS NICE,2
26/02/69,WHERE DO YOU GO TO MY LOVELY,4
26/03/69,I HEARD IT THROUGH THE GRAPEVINE,3
16/04/69,ISRAELITES,1
23/04/69,GET BACK,6
04/06/69,DIZZY,1
11/06/69,THE BALLAD OF JOHN AND YOKO,3
02/07/69,SOMETHING IN THE AIR,3
23/07/69,HONKY TONK WOMEN,5
30/08/69,IN THE YEAR 2525 (EXORIUM AND TERMINUS),3
20/09/69,BAD MOON RISING,3
11/10/69,JE T'AIME... MOI NON PLUS,1
18/10/69,I'LL NEVER FALL IN LOVE AGAIN,1
25/10/69,SUGAR SUGAR,8
20/12/69,TWO LITTLE BOYS,6
31/01/70,LOVE GROWS (WHERE MY ROSEMARY GOES),5
07/03/70,WANDRIN' STAR,3
28/03/70,BRIDGE OVER TROUBLED WATER,3
18/04/70,ALL KINDS OF EVERYTHING,2
02/05/70,SPIRIT IN THE SKY,2
16/05/70,BACK HOME,3
06/06/70,YELLOW RIVER,1
13/06/70,IN THE SUMMERTIME,7
01/08/70,THE WONDER OF YOU,6
12/09/70,TEARS OF A CLOWN,1
19/09/70,BAND OF GOLD,6
31/10/70,WOODSTOCK,3
21/11/70,VOODOO CHILE,1
28/11/70,I HEAR YOU KNOCKING,6
09/01/71,GRANDAD,3
30/01/71,MY SWEET LORD,5
06/03/71,BABY JUMP,2
20/03/71,HOT LOVE,6
01/05/71,DOUBLE BARREL,2
15/05/71,KNOCK THREE TIMES,5
19/06/71,CHIRPY CHIRPY CHEEP CHEEP,5
24/07/71,GET IT ON,4
21/08/71,I'M STILL WAITING,4
18/09/71,HEY GIRL DON'T BOTHER ME,3
09/10/71,REASON TO BELIEVE/MAGGIE MAY,5
13/11/71,COZ I LUV YOU,4
11/12/71,ERNIE (THE FASTEST MILKMAN IN THE WEST),4
08/01/72,I'D LIKE TO TEACH THE WORLD TO SING (IN PERFECT HARMONY),4
05/02/72,TELEGRAM SAM,2
19/02/72,SON OF MY FATHER,3
11/03/72,WITHOUT YOU,5
15/04/72,AMAZING GRACE,5
20/05/72,METAL GURU,4
17/06/72,VINCENT,2
01/07/72,TAKE ME BACK 'OME,1
08/07/72,PUPPY LOVE,5
12/08/72,SCHOOL'S OUT,3
02/09/72,YOU WEAR IT WELL,1
09/09/72,MAMA WEER ALL CRAZEE NOW,3
30/09/72,HOW CAN I BE SURE,2
14/10/72,MOULDY OLD DOUGH,4
11/11/72,CLAIR,2
25/11/72,MY DING-A-LING,4
23/12/72,LONG HAIRED LOVER FROM LIVERPOOL,5
27/01/73,BLOCKBUSTER,5
03/03/73,CUM ON FEEL THE NOIZE,4
31/03/73,THE TWELFTH OF NEVER,1
07/04/73,GET DOWN,2
21/04/73,TIE A YELLOW RIBBON ROUND THE OLD OAK TREE,4
19/05/73,SEE MY BABY JIVE,4
16/06/73,CAN THE CAN,1
23/06/73,RUBBER BULLETS,1
30/06/73,SKWEEZE ME PLEEZE ME,3
21/07/73,WELCOME HOME,1
28/07/73,I'M THE LEADER OF THE GANG (I AM),4
25/08/73,YOUNG LOVE,4
22/09/73,ANGEL FINGERS,1
29/09/73,EYE LEVEL,4
27/10/73,DAYDREAMER/THE PUPPY SONG,3
17/11/73,I LOVE YOU LOVE ME LOVE,4
15/12/73,MERRY XMAS EVERYBODY,5
19/01/74,YOU WON'T FIND ANOTHER FOOL LIKE ME,1
26/01/74,TIGER FEET,4
23/02/74,DEVIL GATE DRIVE,2
09/03/74,JEALOUS MIND,1
16/03/74,"BILLY, DON'T BE A HERO",3
06/04/74,SEASONS IN THE SUN,4
04/05/74,WATERLOO,2
18/05/74,SUGAR BABY LOVE,4
15/06/74,THE STREAK,1
22/06/74,ALWAYS YOURS,1
29/06/74,SHE,4
27/07/74,ROCK YOUR BABY,3
17/08/74,WHEN WILL I SEE YOU AGAIN,2
31/08/74,LOVE ME FOR A REASON,3
21/09/74,KUNG FU FIGHTING,3
12/10/74,ANNIE'S SONG,1
19/10/74,SAD SWEET DREAMER,1
26/10/74,EVERYTHING I OWN,3
16/11/74,GONNA MAKE YOU A STAR,3
07/12/74,YOU'RE THE FIRST THE LAST MY EVERYTHING,2
21/12/74,LONELY THIS CHRISTMAS,4
18/01/75,DOWN DOWN,1
25/01/75,MS GRACE,1
01/02/75,JANUARY,3
22/02/75,MAKE ME SMILE (COME UP AND SEE ME),2
08/03/75,IF,2
22/03/75,BYE BYE BABY,6
03/05/75,OH BOY,2
17/05/75,STAND BY YOUR MAN,3
07/06/75,WHISPERING GRASS,3
28/06/75,I'M NOT IN LOVE,2
12/07/75,TEARS ON MY PILLOW,1
19/07/75,GIVE A LITTLE LOVE,3
09/08/75,BARBADOS,1
16/08/75,CAN'T GIVE YOU ANYTHING (BUT MY LOVE),3
06/09/75,SAILING,4
04/10/75,HOLD ME CLOSE,3
25/10/75,I ONLY HAVE EYES FOR YOU,2
08/11/75,SPACE ODDITY,2
22/11/75,D.I.V.O.R.C.E.,1
29/11/75,BOHEMIAN RHAPSODY,9
31/01/76,MAMMA MIA,2
14/02/76,FOREVER AND EVER,1
21/02/76,DECEMBER '63 (OH WHAT A NIGHT),2
06/03/76,I LOVE TO LOVE (BUT MY BABY LOVES TO DANCE),3
27/03/76,SAVE YOUR KISSES FOR ME,6
08/05/76,FERNANDO,4
05/06/76,NO CHARGE,1
12/06/76,COMBINE HARVESTER (BRAND NEW KEY),2
26/06/76,YOU TO ME ARE EVERYTHING,3
17/07/76,THE ROUSSOS PHENOMENON EP,1
